Nom de la Recette,Ingredients,Puree Preparation,Duree Cuisson,Duree Repos,Etapes de Preparation,URL Recette,URL_Image,Ingredient_lem_token,Ingredient_stem_token
Alfajores de maicena,400 g de fécule de maïs//200 g de farine//200 g de beurre//200 g de sucre//4 œufs//1 cuillère d’essence de vanille//1 cuillère de citron râpé//1 cuillère de poudre à lever//un peu de sel//500 g de confiture de lait//100 g de noix de coco râpé,45 min,10 min,,"Dans un saladier, mélangez les œufs, le citron râpé, la poudre à lever, le sel et l’essence de vanille.//Dans un autre saladier, mélangez le beurre ramolli, le sucre, la fécule de maïs et la farine tamisée, jusqu’à former à obtenir un mélange sablonneux. Y verser la préparation aux œufs.//Pétrissez jusqu’à formation d’une boule. Mettez au réfrigérateur dans cellophane pendant 30 minutes.//Étendez la pâte sur une épaisseur d’1 cm et coupez des disques de 4 cm diamètre. Placez-les sur une plaque et enfournez à 200°C pendant 10 min. Laissez refroidir.//Étalez de la confiture de lait sur une face de chaque rondelle et collez-les 2 à 2. Enduisez les bords de la confiture de lait puis faites-les rouler dans la noix de coco râpée.",https://www.cuisine-libre.org/alfajores-de-maicena,https://www.cuisine-libre.org/local/cache-gd2/e3/3c157e19e6914c12d2c5f0f70377a4.jpg?1644804046,citron farine fécule œuf râpé vanille sucre lever noix coco maï essence lait confiture poudre beurre cuillère sel,citron poudr cuiller noix rape oeuf mai essenc lever coco beurr lait confitur sel vanil fecul farin sucr
Cookies inratables aux pépites de chocolat,150 g de beurre//100 g de cassonade//80 g de sucre blanc//1 œuf//300 g de farine//1 pincée de bicarbonate de soude//1 pincée de sel//200 g de pépites de chocolat+ 100 g pour la déco,20 min,12 min,1 h,"La cuisson effectuée, laissez refroidir vos cookies sur une grille : ils vont durcir au fur et à mesure du refroidissement. Enfin, régalez vos enfants et autorisez-vous une pause gourmande bien méritée !",https://www.cuisine-libre.org/cookies-inratables-aux-pepites-de-chocolat,https://www.cuisine-libre.org/local/cache-gd2/78/71b68eaa988de0b7ec2bd2d398bc6f.jpg?1644795453,chocolat cassonade œuf pépite bicarbonate farine déco blanc sucre beurre sel,chocolat pepit cassonad blanc oeuf deco beurr bicarbon sel farin sucr
Biscuits de Noël alsaciens,600 g de farine//300 g de sucre brun//180 g de margarine//2 bananes//30 g de compote de pomme (mais le goût est très discret)//1 sachet de levure chimique//1 ou 2 sachets de sucre vanillé//1 cuillerée à soupe de fleur d’oranger//le zeste d’un citron ou d’une orange//raisins secs et/ou fruits confits.,30 min,30 min,,"Faire doucement fondre la margarine.//Écraser les bananes.//Ajouter la compote, le sucre et sucre vanillé, zeste, fleur d’oranger et mélanger.//Ajouter la margarine fondue et bien mélanger.//Ajouter la farine en dôme puis la levure, les mélanger entre elles puis avec les ingrédients liquides.//Laisser reposer 1h au frais.//Mettre du papier cuisson sur des plaques allant au four.//Étaler sur une table ou planche légèrement farinée et découper des formes à l’emporte-pièce.//Répartir les biscuits sur les plaques de cuisson.//Enfoncer un raisin sec ou petit morceau de fruit confit sur chaque biscuit.//Enfourner à 200ºC pendant 10 à 15 minutes. Bien surveiller la cuisson car ils brunissent en 2 minutes et les dimensions des biscuits ont une forte influence sur le temps de cuisson.",https://www.cuisine-libre.org/biscuits-de-noel-alsaciens,https://www.cuisine-libre.org/local/cache-gd2/8e/2f7871ed82ed9e84bbe3f7bdd2a607.jpg?1644797369,margarine sec sachet zeste discret raisin oranger orange banane trè fleur compote goût sucre cuillerée vanillé pomme citron farine levure chimique fruit brun confit,sec sachet chimiqu discret raisin levur vanil farin pomm fleur gout banan zest tre citron compot cuillere fruit confit brun orang margarin sucr
Diamants au citron,300 g de farine tout usageet farine de maïs mélangées//200 g de beurre mou//100 g de sucre en poudre//1 pincé de sel fin//1 citron jaune non traité (zeste)//1 jaune d’œuf//sucre cristal//crème au citron (lemon curd)//1 citron vert non traité (zeste),30 min,15 min,1 h,"Mélanger au batteur le beurre, le sel et le sucre. Tamisez les farines et zester finement le citron. Mélanger le tout à l’aide d’une cuillère, puis avec les mains, sans trop pétrir, pour façonner un boudin de pâte bien homogène. Placer au réfrigérateur 1 heure pour qu’il durcisse.//Préchauffer le four à 180°C.Tapisser une plaque de papier cuisson.//Badigeonner légèrement le boudin de jaune d’œuf avant de le rouler dans le sucre cristal pour le recouvrir entièrement. Trancher ensuite des rondelles épaisses de 1 cm environ et les déposer sur la plaque de cuisson. Creuser le centre de chacune avec le pouce.//Enfourner et cuire 10 à 15 minutes, pas davantage : les biscuits ne doivent pas colorer.//Laisser refroidir. Peu avant de servir, garnir chaque creux d’une cuillerée de lemon curd à la petite cuillère à ou à l’aide d’une poche à douille unie. Pour décorer, parsemer de zeste de citron vert.",https://www.cuisine-libre.org/diamants-au-citron,https://www.cuisine-libre.org/local/cache-gd2/67/b847bed4350f9b9766eabd4adeb8c2.jpg?1644800892,crème zeste œuf curd mélangée beurre sucre traité vert lemon non jaune sel citron usaget farine maï cristal pincé poudre,jaun creme curd oeuf farin melange mai trait vert lemon zest non sel citron usaget poudr pinc beurr cristal sucr
Cake moelleux au potimarron et aux noix,350 g de pulpe cuite de potimarron//125 g de farine//125 g de beurre mou//125 g de sucre//3 œufs//65 g de cerneaux de noix//1/2 citron//1/2 orange//1 sachet de levure chimique//2 c. soupe de rhum,25 min,1 h,,"Préchauffez le four à 150°C (th. 5). Réduisez la pulpe de potimarron en purée à l’aide d’un moulin à légumes puis incorporez-lui les cerneaux de noix finement écrasés.//Tamisez la farine et la levure.//Dans une terrine, mélangez au fouet le beurre et le sucre jusqu’à obtenir la consistance d’une crème légère.//Ajoutez un œuf et dès que la préparation est de nouveau homogène, incorpore le 2e œuf, puis le 3e de la même façon.//Introduisez la farine et la purée de potimarron aux noix.//Râpez les zestes des deux agrumes, parfumez au rhum, mélangez.//Versez cette préparation dans un moule à cake antiadhésif. Cuire une heure. Retirez du four, démoulez et laissez refroidir sur une grille.",https://www.cuisine-libre.org/cake-moelleux-au-potimarron-et-aux-noix,https://www.cuisine-libre.org/local/cache-gd2/5e/9519838bb141d80ec16446b8afc554.jpg?1644794513,citron farine œuf noix sachet cuite sucre levure chimique potimarron orange cerneaux pulpe beurre rhum,citron levur noix sachet oeuf chimiqu potimarron beurr pulp cerneaux cuit rhum orang farin sucr
Cigares aux amandes et au miel,12 feuilles de brick//500 g de poudre d’amandes//2 c. soupe de sucre//2 c. soupe de miel//1 zeste d’orange//2 ou 3 blancs d’œufs (selon grosseur)//extrait d’amande amère (quelques gouttes)//sirop de sucre,,,,"Dans un saladier, verser la poudre d’amandes, le sucre, le miel, le zeste et l’extrait d’amande amère. Ajouter ensuite les blancs d’œufs un à un, en mélangeant à chaque fois pour apprécier la consistance de la pâte : elle doit être ferme mais malléable. Former de petites boules de 2 ou 3 cm de diamètre puis les rouler en petits boudins assez fins de 10 cm.//Couper les feuilles de brick en quatre. Poser devant vous une feuille coupée, pointe vers le haut. Placer la farce à 1,5 cm du bord bas. Replier les bords latéraux vers l’intérieur et rouler la feuille jusqu’à la pointe. Coller la pointe avec du blanc d’œuf et réserver dans une assiette. Recommencer jusqu’à épuiser la pâte d’amande et les feuilles de brick.//Réfrigérer jusqu’à ce que les cigares tiennent, environ une nuit.//Préparer le sirop de sucre.//Chauffer un bain d’huile pour faire frire les cigares. Des qu’ils sont bien dorés de tous les cotés, avec une écumoire, les déposer directement dans le sirop de sucre. Laisser Égoutter dans une passoire.",https://www.cuisine-libre.org/cigares-aux-amandes-au-miel,https://www.cuisine-libre.org/local/cache-gd2/df/0092a9f8afa5f03fb88d7ccda482bf.jpg?1644795049,quelque goutte selon feuille œuf zeste blanc sucre grosseur sirop orange amande amère poudre miel amande brick,feuill poudr quelqu selon sirop brick blanc oeuf grosseur amer goutt zest miel orang amand sucr
Truffes au chocolat,"250 g de chocolat noir amer [*] : Van Houten par ex.//125 g de sucre glace//100 g de beurre//1 cuillère à soupe de lait//2 jaunes d’œufs//5 cl de crème fraîche//50 g de poudre de cacao, non sucrée",,,1.5 j,"Fondre au bain-marie le chocolat noir cassé en morceaux avec le lait.//Le mélange bien lisse, ajouter le beurre en morceaux. Mélanger et incorporer les 2 jaunes d’œufs, la crème fraîche et le sucre glace.//Réserver 24 h au réfrigérateur.//Façonner rapidement les truffes en prélevant la pâte avec une petite cuillère puis en la roulant avec la paume, sur un marbre afin de former des boules de la grosseur d’une noix.//Rouler une par une dans le cacao.//Réserver au frais 12 h avant de les déguster.",https://www.cuisine-libre.org/truffes-au-chocolat,https://www.cuisine-libre.org/local/cache-gd2/91/1ffb21cdab8f8c8be1ec79f51a6e39.jpg?1644796899,crème ex sucrée van glace œuf fraîche amer jaune beurre chocolat noir sucre lait ao non houten poudre cuillère,jaun ex van creme glace oeuf amer fraich chocolat cuiller noir sucre lait ao non houten poudr beurr sucr
"Gâteau au yaourt, pomme et caramel",1 yaourt nature (le pot va servir de mesure)//2 pots de farine//1 pot de sucre//1/2 pot d’huile//1 sachet de levure//2 œufs//2 pommes,20 min,30 min,,"Dans un saladier verser le yaourt nature, puis les deux pots de farine, un sachet de levure, un pot de sucre et l’huile, mélanger.Casser les 2 œufs dans un bol, les fouetter et les incorporer à la pâte.//Dans le fond de votre moule, déposer des morceaux de pommes, préalablement épluchées et découpées.//Ensuite pour faire le caramel, il suffit de verser du sucre dans une poêle et de mélanger avec de l’eau.Attendre que l’eau s’évapore, soyez vigilant car le caramel noircit très vite.Dès que le sucre se fonce, le faire couler sur les pommes.Rajouter la pâte.Enfourner 30 minutes dans un four chaud à 200°C.",https://www.cuisine-libre.org/gateau-au-yaourt-pomme-et-caramel,https://www.cuisine-libre.org/local/cache-gd2/1f/ac1fc55b1807353eb2b6a801ee90e1.jpg?1644799625,farine va levure sachet œuf sucre pomme nature yaourt mesure pot huile servir,pomm mesur va levur sachet oeuf natur huil yaourt farin pot servir sucr
Gâteau à la courge de Nice,"1 kg de courge de Nice//200 g de farine//150 g de sucre semoule//3 gros œufs//1,5 cuiller à café bombée de levure chimique//1 cuiller à soupe de crème fraîche//1 pincée de sel//1 jus de citron",30 min,48 min,,"Commencer par éplucher la courge de Nice, puis la couper en morceaux assez petits. La faire cuire. Pour vérifier la cuisson, piquer les morceaux, ils doivent être tendres. Laisser refroidir.//Faire préchauffer le four à 180°C.//Écraser la courge pour en faire une purée.//Dans un saladier ou dans le bol du robot, mettre la farine, le sucre, la levure. Mélanger.//Ajouter les œufs entiers et le jus de citron. Mélanger jusqu’à obtenir un pâte onctueuse//Ajouter la courge écrasée, la crème fraîche. Mélanger.//Beurrer un moule. Y verser l’appareil.//Enfourner et cuire au moins 45 minutes.",https://www.cuisine-libre.org/gateau-a-la-courge-de-nice,https://www.cuisine-libre.org/local/cache-gd2/cd/fc738bd1b4a1fa2b7d7a2bc09f6b2c.jpg?1644795834,citron café cuiller farine œuf levure crème chimique sucre fraîche ju bombée courge nice semoule sel,citron ju creme cuiller levur oeuf chimiqu cafe semoul nice bombe sel courg fraich farin sucr
Canistrelli à la farine de châtaignes,200 g de farine de chataigne//300 g de farine de blé//150 g de sucre//3 œufs entiers//150 ml d’huile//1 sachet de levure,15 min,15 min,1 h,"Préchauffer le four à 180°C.//Mélanger tous les ingrédients jusqu’à l’obtention d’une pâte lisse et homogène. Étaler la pâte sur environ 1 cm d’épaisseur, puis détailler selon votre envie en rectangle ou autre forme. Déposer les biscuits sur une plaque de cuisson avec papier sulfurisé et enfourner pour 15 à 20 minutes.//Laisser refroidir sur une grille avant dégustation.",https://www.cuisine-libre.org/canistrelli-a-la-farine-de-chataignes,https://www.cuisine-libre.org/local/cache-gd2/82/4d858d34c0a8db5353fda3885bd8a9.jpg?1644794222,chataigne farine œuf levure sachet sucre huile entier blé,levur sachet oeuf entier ble huil chataign farin sucr
Sablés légers,185 g de farine//90 g de beurre ramolli//90 g de sucre en poudre//1 œuf moyen//1 pincé de sel//parfum : 1 sachet de sucre vanillé ou quelques goutes d’eau de fleur d’oranger,35 min,15 min,30 min,"Préchauffer le four à 170°C (thermostat 5/6).//Dans un récipient creux, mettre la farine, le sel, le sucre et l’œuf. Ajouter le parfum de votre choix, ici fleur d’oranger, ou de la vanille. Mélangez pour rendre la pâte homogène. Coupez-le beurre en morceaux et ajoutez-le. Mélangez de nouveau jusqu’à former une boule. Si la boule ne se forme pas correctement, ajouter 15 ml d’eau.//Placer la boule de pâte au frais pendant au moins 30 minutes pour la laisser se reposer.//Après avoir laissé reposer la pâte, placez du papier cuisson sur la plaque du four ou graissez-la. Étalez la pâte et découpez des formes de votre choix ou avec un emporte-pièces et déposez-les sur la plaque.//Enfournez 15 minutes.",https://www.cuisine-libre.org/sables-legers,https://www.cuisine-libre.org/local/cache-gd2/a6/1c6a19a38d00ad921ee3349ef8d8ee.jpg?1644794482,quelque oranger œuf parfum fleur farine moyen sachet sucre goute vanillé pincé eau poudre beurre sel,poudr pinc parfum quelqu fleur gout moyen oeuf sachet beurr sel eau vanil orang farin sucr
Gâteau au yaourt,"1 pot de yaourt nature//2 pots de sucre//3 pots de farine//2 œufs//½ demi pot d’huile (ou 10 à 20 g de beurre fondu, ou de la crème fraîche avec matière grasse)//1 demi sachet de levure (si la farine n’en contient pas déjà)",10 min,30 min,,"Dans un saladier mélanger tous les ingrédients, dans n’importe quel ordre.//Verser la pâte ainsi obtenue dans un moule à gâteau (s’il n’est pas en silicone, n’oubliez pas de le beurrer et fariner légèrement pour que le gâteau n’attache pas et se détache facilement).//Enfourner à 180°C pendant 25-30 minutes. Vérifiez régulièrement où en est la cuisson à l’aide de la pointe d’un couteau : si elle est sèche (et non couverte de pâte non cuite) c’est que c’est bon !",https://www.cuisine-libre.org/gateau-au-yaourt-bohwaz,https://www.cuisine-libre.org/local/cache-gd2/c2/496c655343746b78cbca560ea99d16.jpg?1644794245,½ farine œuf crème sachet demi sucre fraîche levure contient nature yaourt déjà huile pot matière grasse beurre,creme matier levur gras sachet oeuf demi contient natur huil yaourt beurr deja pot fraich farin sucr
Gâteau au zeste d’orange,4 œufs//6 à 7 cs de sucre//sucre vanillé (facultatif)//150 g de beurreou 25 cs d’huile//2 cs de lait//15 cs de farine//2 cc de levure chimique//zeste d’orange,20 min,40 min,20 min,"Dans un grand bol, casser les œufs. Ajouter le sucre et le sucre vanillé, l’huile ou le beurre et le lait. Mélanger énergiquement jusqu’à obtenir un liquide mousseux.//Ajouter ensuite la farine et battre un peu. Verser la levure. Mélanger le tout et ajouter le râpé de peau d’orange. Mélanger jusqu’à obtenir une pâte homogène.//Verser dans un moule fariné. Cuire au four pendant 40 min à 180°C. Laisser refroidir avant de déguster.",https://www.cuisine-libre.org/gateau-zeste-orange,https://www.cuisine-libre.org/local/cache-gd2/f5/554756114e4baa942b35012c03eae1.jpg?1644794727,facultatif c œuf farine levure sucre chimique zeste orange lait huile vanillé beurreou,facultatif levur oeuf chimiqu huil c lait beurreou zest vanil orang farin sucr
